response_time,availability,throughput,successability,reliability,compliance,best_practices,latency,documentation,service_name,wsdl_address,service_classification,service_class_name
81.0,93,35.6,98,58,89,75,1.0,6,AdminService,http://cuero.tacc.utexas.edu:8080/gridport/services/AdminService?wsdl,2,Gold
277.2,85,1.6,95,73,100,84,6.4,32,noreturnService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/noreturn.wsdl,2,Gold
224.0,78,3.9,79,73,78,84,1.75,96,NumberGuess,http://www.gama-system.com/webservices/numberguess.asmx?wsdl,2,Gold
159.5,71,20.2,72,80,100,78,5.5,2,timetabling,http://covarm.tvu.ac.uk/timetabling/wsdl/timetablingSOAP.wsdl,2,Gold
83.33,98,2.1,100,80,78,87,1.33,66,TNM_Gazetteer_Service,http://gisdata.usgs.net/XMLWebServices/TNM_Gazetteer_Service.asmx?wsdl,1,Platinum
541.0,91,20.3,97,73,100,84,360.0,35,DerniersDecesEPF,http://webservices.enaos.net/DerniersDecesEPF.asmx?WSDL,1,Platinum
230.91,99,10.7,100,67,100,82,20.32,88,WebAcsWS,http://premier.cdms.net/webACS/webACSWS.asmx?wsdl,1,Platinum
118.33,96,7.0,99,73,78,84,8.66,6,GoogleSearchService,http://search.cpan.org/src/BSTILWELL/Net-Google-1.0.1/lib/Net/Google/Services/GoogleSearch.wsdl,3,Silver
1400.0,78,4.3,79,73,78,84,22.25,12,WSKalignService,http://www.ebi.ac.uk/Tools/webservices/wsdl/WSKalign.wsdl,4,Bronze
98.25,90,1.7,96,73,100,80,2.25,36,PermitPlace,http://ws.strikeiron.com/PermitPlace?WSDL,2,Gold
122.0,98,5.7,100,73,78,84,2.0,5,PeReverseAniService,http://realtime.pacificeast.com/ReverseAni/PeReverseAniService.asmx?wsdl,3,Silver
143.6,98,16.7,100,73,78,62,34.4,96,USHolidayService,http://www.27seconds.com/Holidays/US/USHolidayService.asmx?wsdl,1,Platinum
48.35,10,14.9,10,67,78,82,2.92,4,VipWebService,http://vip8prod.messe-berlin.de/vip8_1/config/webservices/VipWebService.wsdl,4,Bronze
123.0,99,7.5,100,80,89,83,2.5,7,WSDLInteropTestDocLitService,http://www.whitemesa.com/r3/InteropTestDocLitParameters.wsdl,2,Gold
210.33,93,2.3,98,67,67,72,46.33,9,SyndicationServiceExperimental,http://yvesk3.dotnet3.hostbasket.com/dasBlog/SyndicationServiceExperimental.asmx?wsdl,4,Bronze
350.5,86,12.0,86,73,89,84,55.5,6,SendPageService,http://www.lat-lon.com/WebServices/SendPageService/SendPage.asmx?wsdl,3,Silver
423.0,63,5.4,63,73,89,62,16.67,41,GeocodeService,http://lbs.wheresoft.com/api/wssp/geocodeservice.asmx?wsdl,4,Bronze
315.5,86,13.6,86,80,89,87,2.0,10,HexBinaryTest,http://www.mssoapinterop.org/asmx/hexBinary.asmx?WSDL,2,Gold
136.0,83,24.6,84,83,89,91,12.0,61,WhoisService,http://www.flash-db.com/services/ws/flashWhois.wsdl,1,Platinum
66.0,83,36.1,84,78,89,89,3.0,11,SecureLogin,http://www.tacsurv.com/TSSIPortal/Global/SecureLogin.asmx?wsdl,1,Platinum
272.3,35,2.7,35,73,67,84,2.8,8,SearchService,http://www.panoramabox.com/webservices/searchservice.asmx?wsdl,4,Bronze
